bayes,locus,p.value,adj.p.value
0.41379310344827586,Rv2432c,0.0022534310186203,0.030881443409626362
0.412280701754386,Rv2954c,0.0024251257456673336,0.0331476064714582
0.4117647058823529,Rv2662-Rv2663,0.0025424270759368817,0.03439174610472758
0.4117647058823529,Rv0281-eccA3,0.0025424270759368817,0.03439174610472758
0.4117647058823529,lspA,0.0025424270759368817,0.03439174610472758
0.4117647058823529,Rv0998,0.0025424270759368817,0.03439174610472758
0.4090909090909091,Rv2054,0.0029245848461355584,0.03925692735774269
0.4090909090909091,Rv2028c,0.0029245848461355584,0.03925692735774269
0.4090909090909091,Rv2581c,0.0029245848461355584,0.03925692735774269
0.40425531914893614,lipZ,0.0036884248405992803,0.04913207134996751
0.40425531914893614,Rv2336,0.0036884248405992803,0.04913207134996751
0.40425531914893614,rpsP,0.0036884248405992803,0.04913207134996751
0.4016393442622951,mmpL1,0.004293953329288058,0.05705290781427154
0.4,moaD2,0.004990877217391443,0.05717120838740526
0.4,Rv0010c-Rv0011c,0.004990877217391443,0.05717120838740526
0.4,Rv2293c-Rv2294,0.004990877217391443,0.05717120838740526
0.4,PPE13-Rv0879c,0.004990877217391443,0.05717120838740526
0.4,aac,0.004990877217391443,0.05717120838740526
0.4,mazE2-vapC7,0.004990877217391443,0.05717120838740526
0.4,vapB42,0.004990877217391443,0.05717120838740526
0.4,Rv0887c,0.004990877217391443,0.05717120838740526
0.4,mbtB-mbtA,0.004990877217391443,0.05717120838740526
0.4,rpmB1-Rv0106,0.004990877217391443,0.05717120838740526
0.4,recA-Rv2737A,0.004990877217391443,0.05717120838740526
0.4,thiG,0.004990877217391443,0.05717120838740526
0.4,Rv1220c,0.004990877217391443,0.05717120838740526
0.4,Rv2509,0.004990877217391443,0.05717120838740526
0.4,PE_PGRS37-ansP1,0.004990877217391443,0.05717120838740526
0.4,sigB,0.004990877217391443,0.05717120838740526
0.4,Rv1233c,0.004990877217391443,0.05717120838740526
0.4,Rv2706c,0.004990877217391443,0.05717120838740526
0.4,nuoH,0.004990877217391443,0.05717120838740526
0.4,vapB46,0.004990877217391443,0.05717120838740526
0.4,Rv2297-Rv2298,0.004990877217391443,0.05717120838740526
0.4,Rv2556c,0.004990877217391443,0.05717120838740526
0.4,Rv1735c-narX,0.004990877217391443,0.05717120838740526
0.4,Rv2621c-Rv2622,0.004990877217391443,0.05717120838740526
0.4,Rv0691A,0.004990877217391443,0.05717120838740526
0.4,Rv1466,0.004990877217391443,0.05717120838740526
0.4,kdpD-kdpF,0.004990877217391443,0.05717120838740526
0.4,Rv1989c,0.004990877217391443,0.05717120838740526
0.4,vapC30,0.004990877217391443,0.05717120838740526
0.4,csoR-Rv0968,0.004990877217391443,0.05717120838740526
0.4,Rv1890c,0.004990877217391443,0.05717120838740526
0.4,Rv3656c,0.004990877217391443,0.05717120838740526
0.4,Rv0898c-ompA,0.004990877217391443,0.05717120838740526
0.4,acpA,0.004990877217391443,0.05717120838740526
0.4,Rv2026c,0.004990877217391443,0.05717120838740526
0.4,Rv1728c,0.004990877217391443,0.05717120838740526
0.4,cut3,0.004990877217391443,0.05717120838740526
0.4,vapC47,0.004990877217391443,0.05717120838740526
0.4,cfp6,0.004990877217391443,0.05717120838740526
0.4,cspB,0.004990877217391443,0.05717120838740526
0.4,ileS-dinX,0.004990877217391443,0.05717120838740526
0.4,Rv1126c,0.004990877217391443,0.05717120838740526
0.4,Rv0250c,0.004990877217391443,0.05717120838740526
0.4,purQ,0.004990877217391443,0.05717120838740526
0.4,PPE32-PPE33,0.004990877217391443,0.05717120838740526
0.4,Rv3183,0.004990877217391443,0.05717120838740526
0.4,Rv0996-alaV,0.004990877217391443,0.05717120838740526
0.4,Rv2619c,0.004990877217391443,0.05717120838740526
0.4,lpqT,0.004990877217391443,0.05717120838740526
0.4,rpsN1,0.004990877217391443,0.05717120838740526
0.4,nudC-Rv3200c,0.004990877217391443,0.05717120838740526
0.4,phoY2,0.004990877217391443,0.05717120838740526
0.4,psd-moeA2,0.004990877217391443,0.05717120838740526
0.4,ilvE,0.004990877217391443,0.05717120838740526
