rv.number,locus
Rv2024c-Rv2025c,Rv2024c-Rv2025c
Rv1832-Rv1833c,gcvB-Rv1833c
Rv3796-Rv3797,Rv3796-fadE35
Rv0500-Rv0500A,proC-Rv0500A
Rv1926c-Rv1927,mpt63-Rv1927
Rv2416c-Rv2417c,eis-Rv2417c
Rv2640c-Rv2641,Rv2640c-cadI
PPE43-PE27,PPE43-PE27
Rv0976c-PE_PGRS16,Rv0976c-PE_PGRS16
mcr19-Rv0486,mcr19-mshA
Rv0534c-Rv0535,menA-pnp
Rv2633c-PE_PGRS46,Rv2633c-PE_PGRS46
Rv3321c-Rv3322c,vapB44-Rv3322c
Rv0511-Rv0512,hemD-hemB
Rv1489A-Rv1490,Rv1489A-Rv1490
Rv1842c-Rv1843c,Rv1842c-guaB1
Rv2020c-Rv2021c,Rv2020c-Rv2021c
Rv3557c-PPE64,Rv3557c-PPE64
Rv3842c-Rv3843c,ncrMT3949-Rv3843c
parD2-Rv2143,parD2-Rv2143
Rv1531-Rv1532c,Rv1531-Rv1532c
Rv0139-Rv0140,Rv0139-Rv0140
Rv2241-Rv2242,aceE-Rv2242
Rv3731-Rv3732,ligC-Rv3732
Rv0317c-glyU,glpQ2-glyU
Rv2292c-Rv2293c,Rv2292c-Rv2293c
PPE58-Rv3427c,PPE58-Rv3427c
Rv0570-Rv0571c,nrdZ-Rv0571c
Rv0472c-Rv0473,Rv0472c-Rv0473
Rv2774c-Rv2775,Rv2774c-Rv2775
Rv3071-Rv3072c,Rv3071-Rv3072c
Rv1021-Rv1022,Rv1021-lpqU
Rv1394c-Rv1395,cyp132-Rv1395
Rv2395A-Rv2395B,aprA-aprB
glnU-Rv2992c,glnU-gltS
PE36-Rv3894c,PE36-eccC2
Rv0271c-Rv0272c,fadE6-Rv0272c
Rv1071c-Rv1072,echA9-Rv1072
rrf-Rv1316c,rrf-ogt
Rv2942-Rv2943,mmpL7-Rv2943
Rv3114-Rv3115,Rv3114-Rv3115
PE_PGRS19-PE_PGRS20,PE_PGRS19-PE_PGRS20
Rv1128c-Rv1129c,Rv1128c-Rv1129c
Rv1212c-Rv1213,glgA-glgC
Rv2842c-Rv2843,Rv2842c-Rv2843
Rv2876-Rv2877c,Rv2876-Rv2877c
EBG00000313367-lsr2,mpr17-lsr2
Rv3823c-Rv3824c,mmpL8-papA1
Rv0799c-Rv0800,Rv0799c-pepC
Rv1221-mpr6,sigE-mpr6
Rv0400c-Rv0401,fadE7-Rv0401
Rv3727-Rv3728,Rv3727-Rv3728
PE_PGRS5-Rv0298,PE_PGRS5-Rv0298
Rv2596-Rv2597,vapC40-Rv2597
Rv3219-Rv3220c,whiB1-Rv3220c
Rv0021c-Rv0022c,Rv0021c-whiB5
Rv0609A-EBG00000313383,Rv0609A-B55
Rv3400-Rv3401,Rv3400-Rv3401
Rv2628-Rv2629,Rv2628-Rv2629
Rv1210-Rv1211,tagA-Rv1211
PE_PGRS8-Rv0743c,PE_PGRS8-Rv0743c
Rv0484c-Rv0485,Rv0484c-Rv0485
PE_PGRS20-Rv1069c,PE_PGRS20-Rv1069c
Rv1170-Rv1171,mshB-Rv1171
clgR-Rv2746c,clgR-pgsA3
Rv3822-Rv3823c,Rv3822-mmpL8
Rv2512c-Rv2513,Rv2512c-Rv2513
Rv2581c-Rv2582,Rv2581c-ppiB
Rv0499-Rv0500,Rv0499-proC
Rv3332-Rv3333c,nagA-Rv3333c
Rv3687c-Rv3688c,rsfB-Rv3688c
Rv0038-Rv0039c,Rv0038-Rv0039c
Rv0739-Rv0740,Rv0739-Rv0740
Rv2222c-Rv2223c,glnA2-Rv2223c
Rv2583c-Rv2584c,relA-apt
Rv3166c-Rv3167c,Rv3166c-Rv3167c
PE_PGRS54-Rv3509c,PE_PGRS54-ilvX
Rv3855-Rv3856c,ethR-Rv3856c
Rv0873-Rv0874c,fadE10-Rv0874c
Rv3073c-Rv3074,Rv3073c-Rv3074
Rv3376-Rv3377c,Rv3376-Rv3377c
Rv0895-Rv0896,Rv0895-gltA2
Rv1904-Rv1905c,Rv1904-aao
Rv3393-Rv3394c,iunH-Rv3394c
Rv2455c-Rv2456c,Rv2455c-Rv2456c
Rv3431c-Rv3432c,Rv3431c-gadB
Rv3797-Rv3798,fadE35-Rv3798
Rv0251c-Rv0252,hsp-nirB
Rv0963c-Rv0964c,Rv0963c-Rv0964c
Rv2343c-Rv2344c,dnaG-dgt
Rv2261c-Rv2262c,Rv2261c-Rv2262c
Rv2979c-Rv2980,Rv2979c-Rv2980
Rv1373-Rv1374c,Rv1373-Rv1374c
Rv1626-Rv1627c,Rv1626-Rv1627c
Rv1435c-Rv1436,Rv1435c-gap
Rv1520-Rv1521,Rv1520-fadD25
Rv2651c-Rv2652c,Rv2651c-Rv2652c
Rv2001-Rv2002,Rv2001-fabG3
Rv0423c-Rv0424c,thiC-Rv0424c
PE_PGRS33-Rv1819c,PE_PGRS33-bacA
Rv3365c-Rv3366,Rv3365c-spoU
Rv2576c-Rv2577,Rv2576c-Rv2577
Rv1156-Rv1157c,Rv1156-Rv1157c
Rv3510c-PE_PGRS55,Rv3510c-PE_PGRS55
Rv1830-Rv1831,Rv1830-Rv1831
Rv0132c-Rv0133,fgd2-Rv0133
Rv0397-Rv0397A,Rv0397-Rv0397A
Rv2033c-Rv2034,Rv2033c-Rv2034
Rv2584c-Rv2585c,apt-Rv2585c
Rv1810-Rv1811,Rv1810-mgtC
Rv2963-Rv2964,Rv2963-purU
Rv3506-PE_PGRS53,fadD17-PE_PGRS53
Rv0456B-Rv0457c,mazE1-Rv0457c
Rv2307A-Rv2307B,Rv2307A-Rv2307B
Rv2417c-Rv2418c,Rv2417c-Rv2418c
Rv0230c-Rv0231,php-fadE4
Rv0461-Rv0462,Rv0461-lpdC
Rv0792c-Rv0793,Rv0792c-Rv0793
Rv2265-Rv2266,Rv2265-cyp124
Rv1158c-Rv1159,Rv1158c-pimE
Rv0481c-Rv0482,Rv0481c-murB
Rv3409c-Rv3410c,choD-guaB3
trpT-Rv0638,trpT-secE1
Rv2998A-Rv2999,Rv2998A-lppY
PPE68-Rv3874,PPE68-esxB
Rv2131c-Rv2132,cysQ-Rv2132
groES-Rv3419c,groES-gcp
Rv0143c-Rv0144,Rv0143c-Rv0144
Rv2423-Rv2424c,Rv2423-Rv2424c
PPE44-Rv2771c,PPE44-Rv2771c
PE_PGRS21-Rv1087A,PE_PGRS21-Rv1087A
Rv0008c-Rv0009,Rv0008c-ppiA
Rv0533c-Rv0534c,fabH-menA
Rv3287c-Rv3288c,rsbW-usfY
Rv3762c-Rv3763,Rv3762c-lpqH
Rv0214-Rv0215c,fadD4-fadE3
Rv1961-Rv1962c,Rv1961-vapC35
Rv0430-Rv0431,Rv0430-Rv0431
Rv1266c-Rv1267c,pknH-embR
Rv1313c-Rv1314c,Rv1313c-Rv1314c
Rv1173-Rv1174c,fbiC-TB8.4
Rv1504c-Rv1505c,Rv1504c-Rv1505c
Rv0048c-Rv0049,Rv0048c-Rv0049
Rv2202c-Rv2203,adoK-Rv2203
Rv1536-Rv1537,ileS-dinX
PPE46-PE27A,PPE46-PE27A
Rv3527-Rv3528c,Rv3527-Rv3528c
Rv1672c-Rv1673c,Rv1672c-Rv1673c
Rv0046c-Rv0047c,ino1-Rv0047c
Rv0233-Rv0234c,nrdB-gabD1
Rv1204c-Rv1205,Rv1204c-Rv1205
Rv1498c-Rv1498A,Rv1498c-Rv1498A
Rv1588c-Rv1589,Rv1588c-bioB
Rv2779c-Rv2780,Rv2779c-ald
ssr-Rv3099c,ssr-Rv3099c
Rv3235-Rv3236c,Rv3235-Rv3236c
Rv3385c-Rv3386,vapB46-Rv3386
Rv3659c-Rv3660c,Rv3659c-Rv3660c
PE_PGRS62-Rv3813c,PE_PGRS62-Rv3813c
Rv0580c-Rv0581,Rv0580c-vapB26
Rv3169-Rv3170,Rv3169-aofH
Rv3243c-Rv3244c,Rv3243c-lpqB
Rv0257-Rv0258c,Rv0257-Rv0258c
Rv3554-Rv3555c,fdxB-Rv3555c
Rv0089-Rv0090,Rv0089-Rv0090
Rv0813c-Rv0814c,Rv0813c-sseC2
Rv0883c-Rv0884c,Rv0883c-serC
Rv1146-Rv1147,mmpL13b-Rv1147
Rv0631c-Rv0632c,recC-echA3
Rv2374c-Rv2375,hrcA-Rv2375
Rv2767c-PPE43,Rv2767c-PPE43
Rv1385-PE15,pyrF-PE15
Rv3171c-Rv3172c,hpx-Rv3172c
Rv3403c-Rv3404c,Rv3403c-Rv3404c
Rv1648-Rv1649,Rv1648-pheS
Rv0299-Rv0300,Rv0299-vapB2
Rv0385-Rv0386,Rv0385-Rv0386
EBG00000313383-Rv0610c,B55-Rv0610c
Rv0825c-Rv0826,Rv0825c-Rv0826
Rv0955-Rv0956,Rv0955-purN
Rv1224-Rv1225c,tatB-Rv1225c
EBG00000313377-EBG00000313325,mcr3-rrs
Rv1941-Rv1942c,Rv1941-mazF5
Rv2172c-Rv2173,Rv2172c-idsA2
Rv2870c-Rv2871,dxr-vapB43
PPE52-Rv3145,PPE52-nuoA
Rv3711c-Rv3712,dnaQ-Rv3712
Rv1127c-Rv1128c,ppdK-Rv1128c
Rv0957-Rv0958,purH-Rv0958
Rv2184c-Rv2185c,Rv2184c-TB16.3
Rv3734c-Rv3735,tgs2-Rv3735
Rv3829c-Rv3830c,Rv3829c-Rv3830c
Rv0179c-Rv0180c,lprO-Rv0180c
Rv2444c-Rv2445c,rne-ndkA
Rv1135A-Rv1136,Rv1135A-Rv1136
Rv1286-Rv1287,cysN-Rv1287
Rv1833c-Rv1834,Rv1833c-lipZ
Rv2510c-Rv2511,Rv2510c-orn
Rv0434-Rv0435c,Rv0434-Rv0435c
Rv1033c-Rv1034c,trcR-Rv1034c
Rv2803-Rv2804c,Rv2803-Rv2804c
Rv1015c-Rv1016c,rplY-lpqT
Rv1931c-Rv1932,Rv1931c-tpx
PE_PGRS61-Rv3654c,PE_PGRS61-Rv3654c
Rv0025-Rv0026,Rv0025-Rv0026
PPE32-PPE33,PPE32-PPE33
Rv1928c-Rv1929c,Rv1928c-Rv1929c
Rv3330-Rv3331,dacB1-sugI
Rv0012-Rv0013,Rv0012-trpG
Rv1079-greA,metB-greA
PPE62-Rv3534c,PPE62-hsaF
Rv3891c-PPE69,esxD-PPE69
Rv0531-PE_PGRS6,Rv0531-PE_PGRS6
Rv0741-PE_PGRS8,Rv0741-PE_PGRS8
Rv1772-Rv1773c,Rv1772-Rv1773c
Rv0786c-Rv0787A,Rv0787-Rv0787A
Rv1007c-Rv1008,metS-tatD
Rv1908c-Rv1909c,katG-furA
Rv0065-Rv0066c,vapC1-icd2
Rv1404-Rv1405c,Rv1404-Rv1405c
Rv0562-Rv0563,grcC1-htpX
PE_PGRS41-Rv2397c,PE_PGRS41-cysA1
Rv1013-Rv1014c,pks16-pth
PE_PGRS2-Rv0125,PE_PGRS2-pepA
Rv0681-Rv0682,Rv0681-rpsL
Rv2954c-Rv2955c,Rv2954c-Rv2955c
Rv3732-Rv3733c,Rv3732-Rv3733c
Rv0996-alaV,Rv0996-alaV
Rv1598c-Rv1599,Rv1598c-hisD
Rv0783c-Rv0784,emrB-Rv0784
Rv3783-Rv3784,rfbD-Rv3784
Rv2242-Rv2243,Rv2242-fabD
gluT-aspT,gluT-aspT
Rv1629-Rv1630,polA-rpsA
Rv2688c-Rv2689c,Rv2688c-Rv2689c
Rv0042c-Rv0043c,Rv0042c-Rv0043c
Rv0574c-Rv0575c,Rv0574c-Rv0575c
PE_PGRS13-PE_PGRS14,PE_PGRS13-PE_PGRS14
Rv1980c-Rv1981c,mpt64-nrdF1
Rv3200c-Rv3201c,Rv3200c-Rv3201c
leuT-Rv0021c,leuT-Rv0021c
PE14-Rv1215c,PE14-Rv1215c
Rv1451-PE_PGRS28,ctaB-PE_PGRS28
Rv3632-Rv3633,Rv3632-Rv3633
Rv3810-Rv3811,pirG-Rv3811
rplU-Rv2443,rplU-dctA
Rv2471-Rv2472,aglA-Rv2472
Rv1591-Rv1592c,Rv1591-Rv1592c
Rv0870c-Rv0871,Rv0870c-cspB
Rv1000c-Rv1001,Rv1000c-arcA
Rv1349-Rv1350,irtB-fabG2
Rv1799-PPE28,lppT-PPE28
Rv2112c-Rv2113,dop-Rv2113
Rv2177c-Rv2178c,Rv2177c-aroG
Rv2484c-Rv2485c,Rv2484c-lipQ
Rv2772c-Rv2773c,Rv2772c-dapB
Rv3692-Rv3693,moxR2-Rv3693
Rv0125-Rv0126,pepA-treS
Rv2282c-Rv2283,Rv2282c-Rv2283
Rv2695-Rv2696c,Rv2695-Rv2696c
PE_PGRS11-PPE12,PE_PGRS11-PPE12
PE_PGRS29-Rv1469,PE_PGRS29-ctpD
PE_PGRS40-Rv2372c,PE_PGRS40-Rv2372c
Rv0604-Rv0605,lpqO-Rv0605
Rv1151c-Rv1152,Rv1151c-Rv1152
thrU-Rv3644c,thrU-Rv3644c
Rv0968-Rv0969,Rv0968-ctpV
Rv2145c-Rv2146c,wag31-Rv2146c
Rv0166-Rv0167,fadD5-yrbE1A
Rv0488-Rv0489,Rv0488-gpm1
Rv0243-EBG00000313378,fadA2-F6
Rv0437c-Rv0438c,psd-moeA2
Rv1776c-Rv1777,Rv1776c-cyp144
Rv3820c-Rv3821,papA2-Rv3821
Rv0263c-Rv0264c,Rv0263c-Rv0264c
Rv1273c-Rv1274,Rv1273c-lprB
Rv1322A-Rv1323,Rv1322A-fadA4
argW-Rv2486,argW-echA14
PPE29-PPE30,PPE29-PPE30
Rv3686c-Rv3687c,Rv3686c-rsfB
Rv1185c-Rv1186c,fadD21-Rv1186c
Rv0312-Rv0313,Rv0312-Rv0313
Rv3210c-Rv3211,Rv3210c-rhlE
Rv3268-Rv3269,Rv3268-Rv3269
Rv3854c-Rv3855,ethA-ethR
Rv0367c-Rv0368c,Rv0367c-Rv0368c
Rv2777c-Rv2778c,Rv2777c-Rv2778c
Rv3317-Rv3318,sdhD-sdhA
Rv0227c-Rv0228,Rv0227c-Rv0228
Rv1367c-Rv1368,Rv1367c-lprF
Rv2518c-lysU,ldtB-lysU
Rv2524c-Rv2525c,fas-Rv2525c
Rv0952-Rv0953c,sucD-Rv0953c
Rv0841-Rv0842,Rv0841-Rv0842
Rv2450c-Rv2451,rpfE-Rv2451
lipX-Rv1170,lipX-mshB
Rv2515c-Rv2516c,Rv2515c-Rv2516c
Rv3593-Rv3594,lpqF-Rv3594
Rv1650-PE_PGRS30,pheT-PE_PGRS30
Rv1887-Rv1888c,Rv1887-Rv1888c
Rv2239c-Rv2240c,Rv2239c-Rv2240c
Rv2988c-Rv2989,leuC-Rv2989
Rv1813c-Rv1814,Rv1813c-erg3
Rv3455c-Rv3456c,truA-rplQ
Rv2765-Rv2766c,Rv2765-Rv2766c
Rv1070c-Rv1071c,echA8-echA9
Rv1973-Rv1974,Rv1973-Rv1974
Rv2824c-Rv2825c,Rv2824c-Rv2825c
Rv3629c-Rv3630,Rv3629c-Rv3630
Rv0118c-Rv0119,oxcA-fadD7
Rv3205c-Rv3206c,Rv3205c-moeB1
Rv0047c-Rv0048c,Rv0047c-Rv0048c
Rv0644c-Rv0645c,mmaA2-mmaA1
Rv1045-Rv1046c,Rv1045-Rv1046c
Rv1155-Rv1156,Rv1155-Rv1156
Rv2101-Rv2102,helZ-Rv2102
Rv2990c-Rv2991,Rv2990c-Rv2991
EBG00000313324-Rv3661,B11-Rv3661
Rv1276c-Rv1277,Rv1276c-Rv1277
Rv3197A-Rv3198c,whiB7-uvrD2
Rv0937c-Rv0938,mku-ligD
PPE3-Rv0281,PPE3-Rv0281
Rv0730-Rv0731c,Rv0730-Rv0731c
Rv1032c-Rv1033c,trcS-trcR
Rv2927c-Rv2928,Rv2927c-tesA
Rv3636-Rv3637,Rv3636-Rv3637
EBG00000313339-rrf,rrl-rrf
Rv2785c-Rv2786c,rpsO-ribF
Rv1758-wag22,cut1-wag22
Rv0889c-Rv0890c,citA-Rv0890c
Rv0896-Rv0897c,gltA2-Rv0897c
Rv0970-Rv0971c,Rv0970-echA7
Rv1193-Rv1194c,fadD36-Rv1194c
Rv1324-PE_PGRS24,Rv1324-PE_PGRS24
Rv0953c-Rv0954,Rv0953c-Rv0954
Rv1473-Rv1473A,Rv1473-Rv1473A
Rv2456c-Rv2457c,Rv2456c-clpX
Rv3851-Rv3852,Rv3851-hns
Rv3215-Rv3216,entC-Rv3216
Rv0796-Rv0797,Rv0796-Rv0797
Rv0994-Rv0995,moeA1-rimJ
Rv1635c-Rv1636,Rv1635c-TB15.3
Rv2557-Rv2558,Rv2557-Rv2558
Rv3353c-Rv3354,Rv3353c-Rv3354
Rv0135c-Rv0136,Rv0135c-cyp138
Rv1542c-Rv1543,glbN-Rv1543
Rv1916-PPE34,aceAb-PPE34
Rv0076c-Rv0077c,Rv0076c-Rv0077c
Rv0475-Rv0476,hbhA-Rv0476
Rv0161-Rv0162c,Rv0161-adhE1
Rv0637-trpT,hadC-trpT
Rv1902c-Rv1903,nanT-Rv1903
Rv2851c-Rv2852c,Rv2851c-mqo
Rv2958c-Rv2959c,Rv2958c-Rv2959c
Rv0822c-Rv0823c,Rv0822c-Rv0823c
PPE12-Rv0755A,PPE12-Rv0755A
Rv1906c-Rv1907c,Rv1906c-Rv1907c
PPE8-Rv0356c,PPE8-Rv0356c
Rv0268c-Rv0269c,Rv0268c-Rv0269c
Rv0242c-Rv0243,fabG4-fadA2
Rv3095-Rv3096,Rv3095-Rv3096
PE33-Rv3651,PE33-Rv3651
Rv0521-Rv0522,Rv0521-gabP
Rv1081c-Rv1082,Rv1081c-mca
Rv3417c-groES,groEL1-groES
Rv3751-EBG00000313366,Rv3751-serX
Rv1351-Rv1352,Rv1351-Rv1352
Rv3043c-Rv3044,ctaD-fecB
Rv0145-Rv0146,Rv0145-Rv0146
Rv2226-rnpB,Rv2226-rnpB
Rv2672-Rv2673,Rv2672-aftC
Rv2776c-Rv2777c,Rv2776c-Rv2777c
PE_PGRS47-Rv2742c,PE_PGRS47-Rv2742c
Rv0658c-Rv0659c,Rv0658c-mazF2
Rv1632c-Rv1633,Rv1632c-uvrB
Rv2029c-Rv2030c,pfkB-Rv2030c
Rv2348c-Rv2349c,Rv2348c-plcC
Rv0460-Rv0461,Rv0460-Rv0461
Rv2709-Rv2710,Rv2709-sigB
Rv0101-Rv0102,nrp-Rv0102
Rv1058-Rv1059,fadD14-Rv1059
Rv3693-Rv3694c,Rv3693-Rv3694c
Rv2301-Rv2302,cut2-Rv2302
Rv1990c-Rv1990A,Rv1990c-Rv1990A
Rv0861c-Rv0862c,ercc3-Rv0862c
Rv1877-Rv1878,Rv1877-glnA3
Rv0093c-Rv0094c,Rv0093c-Rv0094c
Rv2225-Rv2226,panB-Rv2226
Rv3213c-Rv3214,Rv3213c-gpm2
Rv1167c-PPE17,Rv1167c-PPE17
Rv3315c-Rv3316,cdd-sdhC
Rv3883c-Rv3884c,mycP1-eccA2
Rv0040c-Rv0041,mtc28-leuS
Rv1839c-PE_PGRS34,vapB13-PE_PGRS34
Rv3896c-Rv3897c,Rv3896c-Rv3897c
Rv3247c-Rv3248c,tmk-sahH
Rv0238-Rv0239,Rv0238-vapB24
serT-Rv3772,serT-hisC2
Rv1141c-Rv1142c,echA11-echA10
Rv0221-Rv0222,Rv0221-echA1
Rv2639c-Rv2640c,Rv2639c-Rv2640c
Rv1116A-Rv1117,Rv1116A-Rv1117
Rv2792c-Rv2793c,Rv2792c-truB
Rv3789-Rv3790,Rv3789-dprE1
Rv1284-Rv1285,canA-cysD
Rv0236A-Rv0237,Rv0236A-lpqI
Rv0641-Rv0642c,rplA-mmaA4
Rv2143-Rv2144c,Rv2143-Rv2144c
Rv3552-Rv3553,Rv3552-Rv3553
Rv2054-Rv2055c,Rv2054-rpsR2
Rv2607-PPE42,pdxH-PPE42
Rv0061c-Rv0062,Rv0061c-celA1
Rv2310-Rv2311,Rv2310-Rv2311
Rv1084-Rv1085c,Rv1084-Rv1085c
Rv2260-Rv2261c,Rv2260-Rv2261c
Rv1140-Rv1141c,Rv1140-echA11
PPE45-Rv2893,PPE45-Rv2893
Rv3240c-Rv3241c,secA1-Rv3241c
Rv3015c-Rv3016,Rv3015c-lpqA
Rv2951c-Rv2952,Rv2951c-Rv2952
Rv2406c-Rv2407,Rv2406c-Rv2407
Rv2280-Rv2281,Rv2280-pitB
Rv1491c-Rv1492,Rv1491c-mutA
Rv0467-Rv0468,icl1-fadB2
Rv3319-Rv3320c,sdhB-vapC44
Rv3604c-Rv3605c,Rv3604c-Rv3605c
Rv1391-Rv1392,dfp-metK
Rv0091-Rv0092,mtn-ctpA
Rv1017c-Rv1018c,prsA-glmU
Rv3915-Rv3916c,Rv3915-Rv3916c
Rv1055-leuX,Rv1055-leuX
PE_PGRS34-Rv1841c,PE_PGRS34-Rv1841c
Rv2373c-Rv2374c,dnaJ2-hrcA
Rv1785c-Rv1786,cyp143-Rv1786
Rv2706c-Rv2707,Rv2706c-Rv2707
Rv2961-Rv2962c,Rv2961-Rv2962c
Rv1120c-Rv1121,Rv1120c-zwf1
Rv0383c-Rv0384c,Rv0383c-clpB
Rv3312c-Rv3312A,Rv3312c-Rv3312A
Rv3644c-Rv3645,Rv3644c-Rv3645
Rv1875-Rv1876,Rv1875-bfrA
Rv1022-Rv1023,lpqU-eno
Rv1855c-Rv1856c,Rv1855c-Rv1856c
Rv2025c-Rv2026c,Rv2025c-Rv2026c
Rv0121c-Rv0122,Rv0121c-Rv0122
Rv0123-PE_PGRS2,Rv0123-PE_PGRS2
Rv2031c-Rv2032,hspX-acg
Rv2909c-Rv2910c,rpsP-Rv2910c
PPE49-Rv3126c,PPE49-Rv3126c
Rv0735-Rv0736,sigL-rslA
Rv0332-Rv0333,Rv0332-Rv0333
Rv1701-Rv1702c,Rv1701-Rv1702c
Rv3866-Rv3867,espG1-espH
Rv1019-Rv1020,Rv1019-mfd
EBG00000313317-Rv1158c,mcr10-Rv1158c
Rv2991-gluU,Rv2991-gluU
Rv3054c-Rv3055,Rv3054c-Rv3055
PPE54-PE_PGRS49,PPE54-PE_PGRS49
Rv2427c-Rv2427A,proA-oxyR
Rv3339c-Rv3340,icd1-metC
Rv0053-Rv0054,rpsF-ssb
Rv0183-Rv0184,Rv0183-Rv0184
Rv0670-Rv0671,end-lpqP
Rv1076-Rv1077,lipU-cbs
Rv0807-Rv0808,Rv0807-purF
Rv2771c-Rv2772c,Rv2771c-Rv2772c
Rv3538-PPE63,Rv3538-PPE63
Rv1412-Rv1413,ribC-Rv1413
PPE10-Rv0443,PPE10-Rv0443
Rv2795c-Rv2796c,Rv2795c-lppV
Rv3672c-Rv3673c,Rv3672c-Rv3673c
Rv0245-Rv0246,Rv0245-Rv0246
PE26-Rv2520c,PE26-Rv2520c
Rv2246-Rv2247,kasB-accD6
Rv3172c-Rv3173c,Rv3172c-Rv3173c
Rv0505c-Rv0506,serB1-mmpS2
Rv2451-Rv2452c,Rv2451-Rv2452c
Rv0914c-PPE14,Rv0914c-PPE14
Rv2939-Rv2940c,papA5-mas
Rv3416-Rv3417c,whiB3-groEL1
Rv0684-Rv0685,fusA1-tuf
Rv1043c-Rv1044,Rv1043c-Rv1044
Rv1689-EBG00000313337,tyrS-G2
Rv0925c-Rv0926c,Rv0925c-Rv0926c
Rv3821-Rv3822,Rv3821-Rv3822
Rv1095-Rv1096,phoH2-Rv1096
Rv0360c-Rv0361,Rv0360c-Rv0361
Rv1847-Rv1848,Rv1847-ureA
Rv3027c-Rv3028c,Rv3027c-fixB
Rv3031-Rv3032,Rv3031-Rv3032
Rv3301c-Rv3302c,phoY1-glpD2
Rv0988-Rv0989c,Rv0988-grcC2
Rv3133c-Rv3134c,devR-Rv3134c
PE19-Rv1792,PE19-esxM
Rv1754c-Rv1755c,Rv1754c-plcD
Rv1945-Rv1946c,Rv1945-lppG
Rv0548c-Rv0549c,menB-vapC3
Rv3578-Rv3579c,arsB2-Rv3579c
Rv1165-Rv1166,typA-lpqW
Rv1159A-Rv1160,Rv1159A-mutT2
Rv0919-argT,Rv0919-argT
Rv2982c-Rv2983,gpdA2-Rv2983
Rv2713-Rv2714,sthA-Rv2714
Rv0710-Rv0711,rpsQ-atsA
Rv1873-Rv1874,Rv1873-Rv1874
Rv2182c-Rv2183c,Rv2182c-Rv2183c
Rv3058c-Rv3059,Rv3058c-cyp136
Rv3834c-Rv3835,serS-Rv3835
PE_PGRS59-Rv3596c,PE_PGRS59-clpC1
Rv1893-Rv1894c,Rv1893-Rv1894c
Rv1639c-Rv1640c,Rv1639c-lysX
Rv0543c-Rv0544c,Rv0543c-Rv0544c
Rv0296c-PE_PGRS5,Rv0296c-PE_PGRS5
PE_PGRS42-Rv2488c,PE_PGRS42-Rv2488c
Rv0583c-Rv0584,lpqN-Rv0584
Rv1608c-Rv1609,bcpB-trpE
Rv1403c-Rv1404,Rv1403c-Rv1404
Rv2252-Rv2253,Rv2252-Rv2253
Rv0080-Rv0081,Rv0080-Rv0081
Rv3221c-rshA,TB7.3-rshA
Rv1366A-Rv1367c,Rv1366A-Rv1367c
Rv2574-Rv2575,Rv2574-Rv2575
Rv3028c-Rv3029c,fixB-fixA
Rv0661c-Rv0663,vapB7-atsD
